FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
35185702_101560762,35.315838888888884,-101.93545,16.0,0,100,1,0
29362100_094272880,29.605833333333333,-94.458,19.0,0,1,5,0
29362940_094254920,29.60816666666667,-94.43033333333334,19.0,0,1,5,0
29365160_094324020,29.614333333333335,-94.5445,12.0,0,100,5,0
29413300_094044860,29.6925,-94.08016666666666,17.0,1,80,7,1
29412100_094092940,29.689166666666665,-94.15816666666667,34.0,0,15,1,0
33432100_096464020,33.722500000000004,-96.77783333333333,20.0,0,150,5,0
33442400_096453360,33.74,-96.75933333333333,19.0,0,150,5,0
32393300_094085760,32.659166666666664,-94.14933333333335,7.0,0,20,7,0
32404980_094084500,32.680499999999995,-94.14583333333334,6.0,0,0,5,0
32404740_094081380,32.67983333333333,-94.13716666666667,74.0,0,10,4,1
32405640_094080600,32.68233333333333,-94.135,74.0,0,10,4,1
32404140_094083420,32.67816666666666,-94.14283333333334,74.0,0,10,4,1
32400900_094082640,32.66916666666666,-94.14066666666668,74.0,0,10,7,1
32395040_094073480,32.664,-94.12633333333332,74.0,0,40,7,1
32394920_094073180,32.663666666666664,-94.12549999999999,74.0,0,40,7,1
32394740_094072760,32.66316666666666,-94.12433333333333,74.0,0,40,7,0
30305851_095042675,30.516252777777776,-95.07409722222222,4.0,0,100,1,0
33184173_095492402,33.311591666666665,-95.82333888888888,8.0,1,5695,1,0
33200659_095460114,33.33516388888889,-95.76698333333333,7.0,1,4433,1,0
33214527_095432058,33.362575,-95.72238333333334,65.0,1,5168,3,1
33225759_095413327,33.38266388888889,-95.692575,57.0,0,4702,1,0
33180290_095505329,33.300805555555556,-95.8481361111111,6.0,0,5000,5,0
33180377_095505393,33.301047222222216,-95.84831388888888,8.0,0,5695,5,0
33191236_095481270,33.320100000000004,-95.80352777777777,8.0,0,5190,5,0
33191497_095480769,33.320825000000006,-95.80213611111111,8.0,0,5190,5,0
33191634_095480436,33.32120555555556,-95.80121111111112,8.0,0,5190,5,0
33205333_095444634,33.348147222222224,-95.74620555555556,8.0,0,5168,5,0
33214615_095432047,33.36281944444445,-95.72235277777779,8.0,0,5168,5,0
33180775_095504434,33.30215277777778,-95.84564999999999,5.0,1,5000,1,0
33193625_095471835,33.32673611111112,-95.78843055555555,5.0,1,5000,1,0
33230768_095410377,33.385466666666666,-95.68438055555556,62.0,1,2312,1,0
33233855_095402089,33.394041666666666,-95.67246944444445,62.0,1,2518,1,1
33253555_095374458,33.426541666666665,-95.62904999999999,62.0,1,2255,1,0
33265693_095355895,33.449147222222216,-95.59970833333333,62.0,1,3690,1,0
33265540_095355846,33.448722222222216,-95.59957222222222,41.0,0,3690,1,0
33280048_095351805,33.4668,-95.58834722222221,41.0,0,3560,1,0
33230660_095410283,33.38516666666666,-95.68411944444445,15.0,0,2391,5,0
33233660_095402122,33.3935,-95.67256111111112,15.0,0,2671,5,0
33245162_095383942,33.414338888888885,-95.64428333333333,15.0,0,2284,5,0
33245287_095384067,33.41468611111111,-95.64463055555557,15.0,0,2255,5,0
33253385_095374428,33.426069444444444,-95.62896666666666,15.0,0,2284,5,0
33280066_095351734,33.46685,-95.58815,6.0,0,3560,5,0
33244755_095502255,33.41320833333333,-95.83959722222222,70.0,0,101,1,0
33224077_095470955,33.37799166666667,-95.78598611111111,62.0,0,283,1,1
33224016_095461062,33.37782222222222,-95.76961666666666,62.0,0,387,1,0
33222100_095460700,33.3725,-95.76861111111111,62.0,0,387,1,0
33223944_095435891,33.37762222222222,-95.73303055555556,62.0,0,387,1,1
33223938_095435157,33.377605555555554,-95.73099166666667,62.0,0,387,1,0
33212666_095354405,33.35740555555556,-95.59556944444444,38.0,1,3989,2,1
33211749_095353899,33.35485833333333,-95.59416388888889,38.0,0,3989,5,0
33220879_095392465,33.36910833333334,-95.65684722222223,34.0,0,968,1,0
33220552_095391134,33.3682,-95.65315000000001,34.0,0,968,5,0
33220136_095383512,33.367044444444446,-95.6430888888889,34.0,0,968,1,0
33220005_095363106,33.366680555555554,-95.60862777777777,55.0,1,3408,1,0
33231921_095362934,33.388669444444446,-95.60815,8.0,0,3639,5,0
33271263_095421834,33.45350833333334,-95.70509444444444,64.0,1,100,1,0
33260314_095411391,33.43420555555555,-95.68719722222222,70.0,0,100,1,0
33264262_095415658,33.44517222222222,-95.69905,62.0,0,100,1,0
33250569_095411748,33.41824722222222,-95.68818888888889,62.0,0,272,1,0
33291135_095462720,33.48648611111111,-95.77422222222222,75.0,0,261,4,1
33225905_095462807,33.383069444444445,-95.77446388888889,12.0,0,137,1,0
33260131_095395203,33.43369722222222,-95.66445277777778,65.0,0,113,1,0
33260109_095394130,33.433636111111106,-95.66147222222223,65.0,0,195,1,0
33270792_095363475,33.452200000000005,-95.60965277777777,34.0,0,159,5,0
33270166_095354413,33.45046111111112,-95.59559166666666,61.0,1,229,1,0
33204034_095482990,33.34453888888889,-95.80830555555555,69.0,0,154,1,0
33203954_095481551,33.34431666666667,-95.80430833333332,69.0,0,154,1,0
33204056_095500301,33.3446,-95.83416944444444,68.0,0,154,1,1
33241528_095304395,33.404244444444444,-95.51220833333333,73.0,0,127,1,1
33242347_095304294,33.40651944444444,-95.51192777777777,28.0,0,127,5,0
33234936_095353074,33.39704444444445,-95.59187222222222,17.0,0,447,5,0
33233866_095343441,33.39407222222222,-95.576225,17.0,0,447,5,0
33221753_095513169,33.37153611111111,-95.85880277777777,34.0,0,422,5,0
33193308_095513675,33.325855555555556,-95.86020833333333,28.0,0,628,5,0
33244019_095513060,33.411163888888886,-95.85849999999999,34.0,1,378,1,0
33245766_095513012,33.416016666666664,-95.85836666666665,34.0,1,378,1,0
33223640_095493820,33.376777777777775,-95.82727777777778,20.0,0,233,5,0
33211112_095422511,33.35308888888889,-95.706975,34.0,0,631,5,0
33195176_095450918,33.331044444444444,-95.75255,34.0,0,210,5,0
33215044_095412005,33.36401111111111,-95.68890277777778,24.0,0,769,1,0
33223139_095393454,33.37538611111111,-95.65959444444445,56.0,0,924,1,0
33225632_095390712,33.382311111111115,-95.65197777777779,56.0,0,924,1,0
33225781_095373269,33.382725,-95.62574722222222,56.0,0,666,1,0
33245515_095452270,33.41531944444444,-95.75630555555556,34.0,0,100,5,0
33284026_095411178,33.477850000000004,-95.68660555555556,14.0,0,350,5,0
33183302_095490895,33.309172222222216,-95.81915277777777,64.0,0,188,1,0
33165963_095492668,33.283230555555555,-95.82407777777777,64.0,0,188,1,0
33252639_095392495,33.42399722222222,-95.65693055555556,45.0,0,269,1,0
33291014_095471766,33.48615,-95.78823888888888,34.0,1,20,7,1
33235779_095444802,33.39938611111111,-95.74667222222223,23.0,0,20,3,0
33245646_095472125,33.415683333333334,-95.78923611111111,22.0,0,10,1,0
33245654_095474479,33.415705555555554,-95.79577499999999,18.0,0,10,2,0
33261592_095490621,33.437755555555555,-95.81839166666666,21.0,0,10,1,0
33231049_095491472,33.386247222222224,-95.82075555555555,23.0,0,10,3,0
33200687_095492991,33.33524166666667,-95.824975,28.0,0,30,3,0
33191372_095512363,33.32047777777778,-95.85656388888889,25.0,0,30,5,0
33195080_095454548,33.33077777777778,-95.76263333333333,11.0,0,20,5,0
33223221_095465895,33.37561388888889,-95.78304166666666,11.0,0,10,5,0
33253397_095412779,33.42610277777778,-95.69105277777778,25.0,0,10,1,0
