FID,LATDD,LONDD,AGE,RECON,ADT_029,STRUCTURE_KIND_043A,UNSAFE
33184193_095492433,33.31164722222222,-95.823425,8.0,1,5695,1,0
33200637_095460208,33.33510277777778,-95.76724444444444,7.0,1,4433,1,0
33214533_095432060,33.36259166666667,-95.72238888888889,65.0,1,5168,3,1
33225734_095413334,33.38259444444444,-95.69259444444445,57.0,0,4702,1,0
33180357_095505198,33.30099166666666,-95.84777222222222,6.0,0,6354,5,0
33180446_095505250,33.30123888888889,-95.84791666666666,8.0,0,5695,5,0
33191218_095481311,33.32005,-95.80364166666666,8.0,0,5190,5,0
33191446_095480783,33.320683333333335,-95.80217499999999,8.0,0,5190,5,0
33191584_095480465,33.32106666666667,-95.80129166666666,8.0,0,5190,5,0
33205269_095444618,33.347969444444445,-95.7461611111111,8.0,0,5168,5,0
33214597_095432152,33.362769444444446,-95.72264444444444,8.0,0,5168,5,0
33180762_095504387,33.30211666666666,-95.84551944444443,5.0,1,5000,1,0
33193626_095471830,33.32673888888889,-95.78841666666666,5.0,1,5000,1,0
33230809_095410276,33.385580555555556,-95.6841,62.0,1,2966,1,0
33233892_095402019,33.39414444444444,-95.672275,62.0,1,2518,1,1
33253557_095374421,33.42654722222222,-95.62894722222221,62.0,1,2255,1,0
33265651_095355916,33.44903055555555,-95.59976666666667,62.0,1,3690,1,0
33265598_095355813,33.44888333333333,-95.59948055555554,41.0,0,4144,1,0
33280063_095351789,33.46684166666667,-95.58830277777777,41.0,0,4311,1,0
33230740_095410189,33.38538888888889,-95.68385833333333,15.0,0,2391,5,0
33233815_095401948,33.393930555555556,-95.67207777777779,15.0,0,2671,5,0
33245281_095383848,33.41466944444444,-95.64402222222223,15.0,0,2284,5,0
33245337_095383935,33.414825,-95.6442638888889,15.0,0,2255,5,0
33253405_095374456,33.426125,-95.62904444444443,15.0,0,2284,5,0
33280086_095351713,33.466905555555556,-95.58809166666666,6.0,0,3560,5,0
33244748_095502432,33.41318888888889,-95.84008888888889,70.0,0,101,1,0
33224084_095471071,33.378011111111114,-95.78630833333334,62.0,0,283,1,1
33224051_095461128,33.377919444444444,-95.7698,62.0,0,387,1,0
33223960_095435723,33.37766666666667,-95.73256388888889,62.0,0,522,1,0
33223954_095434809,33.37765,-95.730025,62.0,0,387,1,0
33212780_095354455,33.35772222222222,-95.59570833333333,38.0,1,4678,2,0
33212016_095354031,33.3556,-95.59453055555555,38.0,0,3989,5,0
33220794_095392097,33.36887222222222,-95.65582500000001,34.0,0,968,1,0
33220584_095391236,33.36828888888889,-95.65343333333334,34.0,0,968,5,0
33220151_095383613,33.367086111111114,-95.64336944444445,34.0,0,968,1,0
33220114_095363159,33.36698333333334,-95.608775,55.0,1,3408,1,0
33231914_095362941,33.38865,-95.60816944444444,8.0,0,3639,5,0
33271323_095421822,33.453675000000004,-95.70506111111112,64.0,1,100,1,0
33260331_095411309,33.43425277777777,-95.68696944444444,70.0,0,100,1,0
33264258_095415725,33.445161111111105,-95.69923611111112,62.0,0,100,1,0
33250523_095411755,33.41811944444444,-95.68820833333334,62.0,0,272,1,0
33291113_095462714,33.486425000000004,-95.77420555555555,75.0,0,261,4,1
33225947_095462812,33.38318611111111,-95.77447777777778,12.0,0,137,1,0
33260133_095395203,33.433702777777775,-95.66445277777778,65.0,0,113,1,0
33260108_095394126,33.43363333333333,-95.66146111111112,65.0,0,195,1,0
33270791_095363436,33.452197222222225,-95.60954444444444,34.0,0,159,5,0
33265292_095353343,33.44803333333333,-95.59261944444444,61.0,1,229,1,0
33204008_095482917,33.34446666666667,-95.80810277777778,69.0,0,154,1,0
33203927_095481764,33.34424166666667,-95.8049,69.0,0,154,1,0
33204055_095500275,33.34459722222223,-95.83409722222221,68.0,0,154,1,1
33241492_095304351,33.40414444444444,-95.51208611111112,73.0,0,127,1,1
33242411_095304308,33.40669722222222,-95.51196666666667,28.0,0,131,5,0
33234947_095353028,33.397075,-95.59174444444444,17.0,0,489,5,0
33233867_095343407,33.394075,-95.57613055555555,17.0,0,447,5,0
33221862_095513139,33.37183888888889,-95.85871944444443,34.0,0,422,5,0
33193281_095513669,33.32578055555556,-95.86019166666667,28.0,0,628,5,0
33244026_095513095,33.411183333333334,-95.85859722222222,34.0,1,378,1,0
33245763_095513001,33.41600833333333,-95.8583361111111,34.0,1,378,1,0
33223642_095493907,33.376783333333336,-95.82751944444443,20.0,0,233,5,0
33211180_095422538,33.35327777777778,-95.70705000000001,34.0,0,1511,5,0
33195150_095450895,33.33097222222222,-95.75248611111111,34.0,0,210,5,0
33215043_095411983,33.36400833333334,-95.68884166666668,24.0,0,769,1,0
33223126_095393460,33.37535,-95.65961111111112,56.0,0,1013,1,0
33225626_095390655,33.38229444444445,-95.65181944444446,56.0,0,924,1,0
33225793_095373260,33.382758333333335,-95.62572222222222,56.0,0,666,1,0
33245494_095452223,33.41526111111111,-95.756175,34.0,0,100,5,0
33284019_095411198,33.477830555555556,-95.68666111111112,14.0,0,350,5,0
33183459_095490899,33.30960833333333,-95.81916388888888,64.0,0,188,1,0
33165975_095492712,33.28326388888889,-95.82419999999999,64.0,0,188,1,0
33252605_095392407,33.423902777777776,-95.65668611111111,45.0,0,269,1,0
33291011_095471765,33.48614166666667,-95.7882361111111,34.0,1,20,7,1
33235776_095444816,33.39937777777778,-95.74671111111111,23.0,0,20,3,0
33245665_095472174,33.41573611111111,-95.78937222222223,22.0,0,10,1,0
33245671_095474521,33.415752777777776,-95.79589166666666,18.0,0,10,2,0
33261640_095490623,33.437888888888885,-95.81839722222222,21.0,0,10,1,0
33231051_095491504,33.38625277777778,-95.82084444444445,23.0,0,10,3,0
