Year,TWDB_Survey_No,Organization,Population_Served,Water_Type,Purchasd___Self_Supplied,Region_Used,County_Used,Basin_Used,Source_County,Source_Basin,Aquifer_Source,Surface_Water_Source,Seller_Name,Active_Wells,Brackish___Saline,TWDB_Estimated_Volume,Percent_Treated_Prior_to_Intake,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total_Intake__Gallons_
2024,0005000,A & P WSC,645,Surface Water,Pur,I,PANOLA,SABINE,,,,UNKNOWN,CITY OF CARTHAGE,0,N,N,100.00,"820,600","763,500","1,010,800","1,092,900","1,500,000","1,411,800","1,908,700","1,499,925","2,213,572","2,079,863","1,100,134","1,152,967","16,554,761"
2024,0015450,ALTO RURAL WSC-BRADFORD MT PLANT,348,Ground Water,SS,I,CHEROKEE,NECHES,CHEROKEE,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,1,N,N,0.00,"1,873,900","1,401,300","1,860,700","1,761,100","2,686,600","2,753,400","2,488,500","2,592,000","1,323,900","1,444,700","1,866,300","3,549,000","25,601,400"
2024,0031200,APPLEBY WSC,"5,481",Ground Water,SS,I,NACOGDOCHES,NECHES,NACOGDOCHES,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,0,N,N,0.00,"1,172,000","1,003,000","1,038,000","1,084,000","980,000","1,151,000","2,757,000","2,613,000","2,089,000","2,704,000","1,677,000","921,000","19,189,000"
2024,0031200,APPLEBY WSC,"5,481",Ground Water,SS,I,NACOGDOCHES,NECHES,NACOGDOCHES,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,1,N,N,0.00,"1,829,000","1,644,400","1,691,600","1,758,000","1,550,000","1,550,000","1,758,000","1,684,000","1,751,000","1,569,000","1,631,000","1,547,000","19,963,000"
2024,0031200,APPLEBY WSC,"5,481",Ground Water,SS,I,NACOGDOCHES,NECHES,NACOGDOCHES,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,1,N,N,0.00,"2,494,000","2,140,000","1,825,000","2,490,000","2,184,000","2,635,000","2,996,000","1,322,000","1,729,000","1,460,000","1,442,000","1,664,000","24,381,000"
2024,0031400,APPLE SPRINGS WSC,648,Ground Water,SS,I,TRINITY,NECHES,TRINITY,NECHES,YEGUA-JACKSON AQUIFER,,N/A,1,N,N,0.00,"1,340,000","1,279,000","942,000","911,000","895,000","989,000","879,000","1,012,000","1,506,000","1,720,000","785,000","782,000","13,040,000"
2024,0034900,ARLAM CONCORD WSC,987,Ground Water,Pur,I,RUSK,NECHES,,,,,MOUNT ENTERPRISE WSC,0,N,Y,100.00,0,0,0,0,0,0,0,0,0,0,0,"87,800","87,800"
2024,0034900,ARLAM CONCORD WSC,987,Ground Water,SS,I,RUSK,NECHES,RUSK,NECHES,CARRIZO-WILCOX AQUIFER,,N/A,0,N,Y,0.00,0,0,0,0,0,0,0,0,0,0,0,"25,253,453","25,253,453"
2024,0060138,CLAIRE STREET WATER SYSTEM,81,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,1,N,N,0.00,"190,000","36,000","192,000","123,000","114,000","165,000","180,000","207,000","167,000","138,000","92,000","107,000","1,711,000"
2024,0060148,SUSAN CIRCLE WATER SUPPLY,42,Ground Water,SS,I,ORANGE,NECHES,ORANGE,NECHES,GULF COAST AQUIFER,,N/A,0,N,Y,0.00,0,0,0,0,0,0,0,0,0,0,0,"1,759,595","1,759,595"
